Vendor,Expense Type,Expense Descrption,Date,Item Name,Item Description,Quantity,Cost,Total Cost,Recurring,Interval,
Amazon Prime,Other Expenses,Test Fixtures,1/28/2019,Cable Glans,GiBot Cable Glands 25 Pack,1,9.49,9.49,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/28/2019,Product Tax,Cable Glans and wire,1,1.94,1.94,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,11/19/2019,Band Saw,RYOBI 2.5 Amp 9in,1,179,179,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,11/19/2019,Drill Press,ROYBI 10 in. with Laser alianment,1,134.99,134.99,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,11/19/2019,Grinder,ROYBI 2.1 Amp with LED Lights,1,52.95,52.95,FALSE,,
Amazon Prime,Other Expenses,Machine Shop Supplies,1/27/2020,Micro Taps,M1-M3.5 Machine Hand Screw,1,10.69,10.69,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/27/2020,Micro Taps,M1-M3.5 Machine Hand Screw,1,0.92,0.92,FALSE,,
Amazon Prime,Other Expenses,Machine Shop Supplies,1/22/2020,Tap Wrench,Tap Wrench Handel M1-M10,1,8.29,8.29,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/22/2020,Tap Wrench,Tap Wrench Handel M1-M10,1,0.72,0.72,FALSE,,
Amazon Prime,Other Expenses,Machine Shop Supplies,1/22/2020,Screws,"800 pcs M1, M1.2 M1.4 M1.6 M1.7",1,12.49,12.49,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/22/2020,Screws,"800 pcs M1, M1.2 M1.4 M1.6 M1.7",1,1.08,1.08,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/21/2020,Power Supply,DC 24V 2A 48W Switching,1,11.97,11.97,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/21/2020,Power Supply,DC 24V 2A 48W Switching,1,1.03,1.03,FALSE,,
Amazon Prime,Other Expenses,Office Supplies,10/31/2019,Magnetic Stud Finder,The StudBuddy,1,9.97,9.97,FALSE,,
Amazon Prime,Other Expenses,Electronics,10/31/2019,USB 3.0 Extension Cable,A-Male to A-Female Adapter Cord 9.8 Feet,1,6.99,6.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,10/31/2019,Product Taxes,Tools and Electronic Purchase,1,2.84,2.84,FALSE,,
Amazon Prime,Other Expenses,Electronics,11/2/2019,Surge Protector,4ft Heavy Duty Cord Black,1,35.99,35.99,FALSE,,
Amazon Prime,Other Expenses,Electronics,10/31/2019,HDMI Cable,30 Feet HDMI 2.0V Cable with 2 Piece Cable Ties+2 Piece HDMI Adapters Support,1,15.99,15.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,11/2/2019,Product Taxes,Electronics Purchase,1,3.19,3.19,FALSE,,
Amazon Prime,Other Expenses,Electronics,11/3/2019,5 Port Gigabit Switch,Unmanaged Metal Desktop Switch Plug and Play,1,22.99,22.99,FALSE,,
Amazon Prime,Other Expenses,Office Supplies,11/3/2019,LED Desk Lamp/Table Lamp with Clamp,6-Level Dimmer / 4 Lighting Modes with Touch Control Memory Function,1,96.99,96.99,FALSE,,
